cbo,wmc,dit
6,10,2
6,4,2
0,1,1
2,13,1
6,16,1
4,6,2
3,2,2
6,8,1
3,2,3
8,5,2
1,1,1
1,1,1
3,4,2
2,1,1
1,1,1
0,4,1
2,1,1
0,4,1
2,1,1
0,1,1
0,1,1
2,1,1
2,1,1
1,1,1
0,1,1
1,1,1
1,1,1
1,1,1
8,2,2
0,1,1
5,3,2
1,4,1
6,6,2
2,18,1
0,1,1
1,1,1
0,1,1
0,1,1
0,1,1
0,1,1
4,1,1
2,1,1
0,1,1
1,2,1
1,1,1
9,72,2
18,181,3
0,1,1
1,2,1
9,15,2
7,12,1
0,2,1
1,1,1
1,1,1
7,16,2
5,3,3
2,1,1
1,1,1
1,1,1
3,11,1
1,1,1
3,1,1
1,1,1
2,1,1
1,1,1
0,2,1
1,1,1
4,3,1
5,14,2
0,2,1
0,1,1
1,4,1
0,4,1
1,1,1
1,1,1
2,1,1
1,1,1
0,2,1
1,1,1
1,2,1
0,1,1
1,1,1
0,1,1
3,5,2
0,1,1
5,1,2
0,3,1
3,1,1
0,1,1
2,1,1
4,1,1
1,1,1
8,7,2
2,1,1
0,1,1
0,1,1
3,1,1
2,7,2
0,1,1
2,1,1
2,1,1
1,1,1
31,108,2
1,2,1
0,2,1
0,2,1
0,1,1
0,1,1
1,3,1
0,2,1
0,1,1
0,1,1
0,1,1
14,15,2
0,1,1
0,1,1
0,2,1
6,10,2
2,7,1
0,1,1
0,1,1
0,1,1
1,1,1
0,1,1
0,1,1
0,1,1
0,1,1
1,1,1
0,1,1
1,1,1
2,1,1
0,1,1
1,1,1
0,1,1
0,1,1
1,1,1
0,1,1
11,3,7
3,8,2
0,1,1
0,3,1
0,1,1
0,4,1
0,2,1
0,2,1
2,1,1
1,1,1
2,1,1
3,1,1
0,2,1
102,143,1
0,1,1
2,1,1
0,2,1
0,1,1
29,55,3
1,3,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
0,1,1
1,1,1
